"ISO3","Name","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"NIC","Nicaragua",NA,NA,5.051,NA,NA,NA,NA,5.051,NA,NA,NA,NA,5.051,NA,NA,NA,NA,5.051,NA,NA,NA,NA,5.051,NA
"NER","Niger",NA,NA,89.72,NA,NA,NA,NA,89.72,NA,NA,NA,NA,89.72,NA,NA,NA,NA,89.72,NA,NA,NA,NA,89.72,NA
"NGA","Nigeria",NA,NA,22.78,NA,NA,NA,NA,22.78,NA,NA,NA,NA,22.78,NA,NA,NA,NA,22.78,NA,NA,NA,NA,22.78,NA
"NOR","Norway",NA,NA,2.799,NA,NA,NA,NA,2.799,NA,NA,NA,NA,2.799,NA,NA,NA,NA,2.799,NA,NA,NA,NA,2.799,NA
"OMN","Oman",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"PAK","Pakistan",NA,NA,77.71,NA,NA,NA,NA,77.71,NA,NA,NA,NA,77.71,NA,NA,NA,NA,77.71,NA,NA,NA,NA,77.71,NA
"PLW","Palau",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"PAN","Panama",NA,NA,1.941,NA,NA,NA,NA,1.941,NA,NA,NA,NA,1.941,NA,NA,NA,NA,1.941,NA,NA,NA,NA,0,NA
"PNG","Papua New Guinea",NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA
"PRY","Paraguay",NA,NA,69.83,NA,NA,NA,NA,69.83,NA,NA,NA,NA,69.83,NA,NA,NA,NA,69.83,NA,NA,NA,NA,69.83,NA
"PER","Peru",NA,NA,12.7,NA,NA,NA,NA,12.7,NA,NA,NA,NA,12.7,NA,NA,NA,NA,12.7,NA,NA,NA,NA,12.7,NA
